name	type	shape	n_elements	n_bytes
blk.26.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.26.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.26.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.26.ssm_dt.bias	F32	48	48	192
blk.26.ssm_norm.weight	F32	128	128	512
blk.26.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.27.attn_k.weight	Q8_0	5120,1024	5242880	5570560
blk.27.attn_k_norm.weight	F32	256	256	1024
blk.27.attn_norm.weight	F32	5120	5120	20480
blk.27.attn_output.weight	Q6_K	6144,5120	31457280	25804800
blk.27.attn_q.weight	Q8_0	5120,12288	62914560	66846720
blk.27.attn_q_norm.weight	F32	256	256	1024
blk.27.attn_v.weight	Q8_0	5120,1024	5242880	5570560
blk.27.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.27.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.27.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.27.post_attention_norm.weight	F32	5120	5120	20480
blk.28.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.28.attn_norm.weight	F32	5120	5120	20480
blk.28.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.28.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.28.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.28.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.28.post_attention_norm.weight	F32	5120	5120	20480
blk.28.ssm_a	F32	48	48	192
blk.28.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.28.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.28.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.28.ssm_dt.bias	F32	48	48	192
blk.28.ssm_norm.weight	F32	128	128	512
blk.28.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.29.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.29.attn_norm.weight	F32	5120	5120	20480
blk.29.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.29.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.29.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.29.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.29.post_attention_norm.weight	F32	5120	5120	20480
blk.29.ssm_a	F32	48	48	192
blk.29.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.29.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.29.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.29.ssm_dt.bias	F32	48	48	192
blk.29.ssm_norm.weight	F32	128	128	512
blk.29.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.30.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.30.attn_norm.weight	F32	5120	5120	20480
blk.30.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.30.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.30.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.30.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.30.post_attention_norm.weight	F32	5120	5120	20480
blk.30.ssm_a	F32	48	48	192
blk.30.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.30.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.30.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.30.ssm_dt.bias	F32	48	48	192
blk.30.ssm_norm.weight	F32	128	128	512
blk.30.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.31.attn_k.weight	Q8_0	5120,1024	5242880	5570560
blk.31.attn_k_norm.weight	F32	256	256	1024
blk.31.attn_norm.weight	F32	5120	5120	20480
blk.31.attn_output.weight	Q6_K	6144,5120	31457280	25804800
blk.31.attn_q.weight	Q8_0	5120,12288	62914560	66846720
blk.31.attn_q_norm.weight	F32	256	256	1024
blk.31.attn_v.weight	Q8_0	5120,1024	5242880	5570560
blk.31.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.31.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.31.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.31.post_attention_norm.weight	F32	5120	5120	20480
blk.32.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.32.attn_norm.weight	F32	5120	5120	20480
blk.32.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.32.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.32.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.32.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.32.post_attention_norm.weight	F32	5120	5120	20480
blk.32.ssm_a	F32	48	48	192
blk.32.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.32.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.32.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.32.ssm_dt.bias	F32	48	48	192
blk.32.ssm_norm.weight	F32	128	128	512
blk.32.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.33.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.33.attn_norm.weight	F32	5120	5120	20480
blk.33.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.33.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.33.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.33.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.33.post_attention_norm.weight	F32	5120	5120	20480
blk.33.ssm_a	F32	48	48	192
blk.33.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.33.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.33.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.33.ssm_dt.bias	F32	48	48	192
blk.33.ssm_norm.weight	F32	128	128	512
blk.33.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.34.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.34.attn_norm.weight	F32	5120	5120	20480
blk.34.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.34.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.34.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.34.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.34.post_attention_norm.weight	F32	5120	5120	20480
blk.34.ssm_a	F32	48	48	192
blk.34.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.34.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.34.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.34.ssm_dt.bias	F32	48	48	192
blk.34.ssm_norm.weight	F32	128	128	512
blk.34.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.35.attn_k.weight	Q8_0	5120,1024	5242880	5570560
blk.35.attn_k_norm.weight	F32	256	256	1024
blk.35.attn_norm.weight	F32	5120	5120	20480
blk.35.attn_output.weight	Q6_K	6144,5120	31457280	25804800
blk.35.attn_q.weight	Q8_0	5120,12288	62914560	66846720
blk.35.attn_q_norm.weight	F32	256	256	1024
blk.35.attn_v.weight	Q8_0	5120,1024	5242880	5570560
blk.35.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.35.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.35.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.35.post_attention_norm.weight	F32	5120	5120	20480
blk.36.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.36.attn_norm.weight	F32	5120	5120	20480
blk.36.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.36.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.36.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.36.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.36.post_attention_norm.weight	F32	5120	5120	20480
blk.36.ssm_a	F32	48	48	192
blk.36.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.36.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.36.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.36.ssm_dt.bias	F32	48	48	192
blk.36.ssm_norm.weight	F32	128	128	512
blk.36.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.37.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.37.attn_norm.weight	F32	5120	5120	20480
blk.37.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.37.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.37.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.37.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.37.post_attention_norm.weight	F32	5120	5120	20480
blk.37.ssm_a	F32	48	48	192
blk.37.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.37.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.37.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.37.ssm_dt.bias	F32	48	48	192
blk.37.ssm_norm.weight	F32	128	128	512
blk.37.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.38.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.38.attn_norm.weight	F32	5120	5120	20480
blk.38.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.38.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.38.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.38.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.38.post_attention_norm.weight	F32	5120	5120	20480
blk.38.ssm_a	F32	48	48	192
blk.38.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.38.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.38.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.38.ssm_dt.bias	F32	48	48	192
blk.38.ssm_norm.weight	F32	128	128	512
blk.38.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.39.attn_k.weight	Q8_0	5120,1024	5242880	5570560
blk.39.attn_k_norm.weight	F32	256	256	1024
blk.39.attn_norm.weight	F32	5120	5120	20480
blk.39.attn_output.weight	Q6_K	6144,5120	31457280	25804800
blk.39.attn_q.weight	Q8_0	5120,12288	62914560	66846720
blk.39.attn_q_norm.weight	F32	256	256	1024
blk.39.attn_v.weight	Q8_0	5120,1024	5242880	5570560
blk.39.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.39.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.39.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.39.post_attention_norm.weight	F32	5120	5120	20480
blk.40.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.40.attn_norm.weight	F32	5120	5120	20480
blk.40.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.40.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.40.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.40.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.40.post_attention_norm.weight	F32	5120	5120	20480
blk.40.ssm_a	F32	48	48	192
blk.40.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.40.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.40.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.40.ssm_dt.bias	F32	48	48	192
blk.40.ssm_norm.weight	F32	128	128	512
blk.40.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.41.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.41.attn_norm.weight	F32	5120	5120	20480
blk.41.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.41.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.41.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.41.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.41.post_attention_norm.weight	F32	5120	5120	20480
blk.41.ssm_a	F32	48	48	192
blk.41.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.41.ssm_beta.weight	Q8_0	5120,48	245760	261120
blk.41.ssm_conv1d.weight	F32	4,10240	40960	163840
blk.41.ssm_dt.bias	F32	48	48	192
blk.41.ssm_norm.weight	F32	128	128	512
blk.41.ssm_out.weight	Q8_0	6144,5120	31457280	33423360
blk.42.attn_gate.weight	Q8_0	5120,6144	31457280	33423360
blk.42.attn_norm.weight	F32	5120	5120	20480
blk.42.attn_qkv.weight	Q8_0	5120,10240	52428800	55705600
blk.42.ffn_down.weight	Q4_K	17408,5120	89128960	50135040
blk.42.ffn_gate.weight	Q4_K	5120,17408	89128960	50135040
blk.42.ffn_up.weight	Q4_K	5120,17408	89128960	50135040
blk.42.post_attention_norm.weight	F32	5120	5120	20480
blk.42.ssm_a	F32	48	48	192
blk.42.ssm_alpha.weight	Q8_0	5120,48	245760	261120
blk.42.ssm_beta.weight	Q8_0	5120,48	245760	261120
